STAID,POS,PPT_MM,PPT_MMvar,PET_MM,YLD_MM,YLD_MMvar,yieldmm,yieldmmvar,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxmvar,tminmvar,pmvar,swemvar
3460000,1980-01-01T05:00:00Z,1360.59699525061,4534.04527283299,627.376199442293,664.891072512544,1943.39657798222,684.99654853148,2458.60765727089,0.503452933471538,0.488675981817876,15.9811,0.445056,1330.37,11721.1,54.4696,54.8161,3460.08,1262290
3460000,1981-01-01T05:00:00Z,1291.62874032922,1576.80308206555,613.478449490773,525.456127112923,423.355144041072,515.167946658689,467.134109566054,0.398851411844072,0.406816688655435,15.4761,-0.142741,1321.94,10735.9,60.0844,71.2734,1576.5,1094460
3460000,1982-01-01T05:00:00Z,1669.22510561805,2974.6165549452,631.454352619308,877.003190345359,2601.4598791869,844.905480452531,1631.2306657925,0.50616629093875,0.525395398975046,16.3193,1.19758,1718.85,13377.5,39.9657,45.6045,1849.21,1254720
3460000,1983-01-01T05:00:00Z,1536.90457247245,2299.8220062886,605.934892709889,775.643327054752,1550.16107840211,760.867577540998,1580.63759002637,0.495064944934724,0.504678911721213,15.1521,0.559911,1518.86,8040.95,50.1776,52.7031,3322.04,559734
3460000,1984-01-01T05:00:00Z,1566.46030311207,4393.99765180084,616.27605764882,862.122784677951,1213.38860281507,869.65650159425,1975.39289261314,0.555173022812333,0.550363633834309,15.7785,1.05827,1689.99,10059.5,40.9512,48.8546,5572.57,1496010
3460000,1985-01-01T05:00:00Z,1199.7107779605,2479.94489984609,640.989345022829,506.671236255274,495.760402803398,517.517849055023,772.582222893462,0.431368842026074,0.422327818973678,16.12,1.17252,1261.12,3435.44,55.9193,49.6549,2786.66,213408
3460000,1986-01-01T05:00:00Z,1234.77172284437,2389.95675496259,651.204733950655,472.340132574193,681.040870645571,405.396686357789,335.700773249222,0.328317112270706,0.382532353013502,17.2256,1.06291,1516.58,6504.2,47.765,53.5507,4448.29,560107
3460000,1987-01-01T05:00:00Z,1314.22925767633,1820.16603016858,640.259537793711,613.965692466553,1106.5556717804,525.434323521363,876.669221859418,0.399804159321772,0.467167877202867,16.7058,0.583739,1523.33,11644.3,53.3908,46.7129,3201.2,1086060
3460000,1988-01-01T05:00:00Z,1233.13947264294,902.002630299834,603.897354075605,530.256249969975,289.949022326616,463.816800850266,477.095025589799,0.376126797608859,0.430005090043463,15.7641,2.23763,1344.79,1491.85,57.537,61.1595,1688.01,37396.7
3460000,1989-01-01T05:00:00Z,2063.72009006897,3124.75872407061,615.962515116548,1194.4152531558,1008.81110842812,1129.55185432982,746.95409209376,0.547337722671524,0.578768050426784,15.7041,3.37181,2172.37,846.308,45.2741,54.8267,4777.8,10356.7
3460000,1990-01-01T05:00:00Z,1738.5762574017,3906.62295125066,640.543098533476,952.535547848878,2762.65740572049,967.254497022335,4109.5141589943,0.556348617384144,0.547882523871827,17.3116,4.01031,1967.04,999.154,32.5597,34.7879,4081.31,29629.9
3460000,1991-01-01T05:00:00Z,1766.19502048994,5483.9879554926,648.654242092592,971.90986933473,1911.21987805862,995.56889474866,1405.78272797224,0.56368004846514,0.550284571103095,16.2433,4.8138,1730.4,456.82,44.154,50.8753,5814.18,4761.45
3460000,1992-01-01T05:00:00Z,1737.61834801366,2744.67703837684,605.030672226305,950.982434051919,792.659741210362,865.958294544281,632.618052223723,0.498359317818087,0.547290741455984,15.1521,3.65886,1694,764.539,38.3611,47.3841,1962.12,10754.4
