STAID,POS,PPT_MM,PPT_MMvar,PET_MM,YLD_MM,YLD_MMvar,yieldmm,yieldmmvar,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxmvar,tminmvar,pmvar,swemvar
9505800,1980-01-01T05:00:00Z,770.54475443806,5895.87648373127,634.131299174429,305.482159594628,873.832402694576,198.19550618228,966.137490064976,0.257214788681313,0.396449599890416,17.7975,1.13779,819.35,1244.94,65.3362,37.3503,6799.44,30810
9505800,1981-01-01T05:00:00Z,641.282032237391,948.855738539277,660.398900884668,75.1861174220227,23.5723089023103,28.8325604886579,0.482079615280488,0.0449608113735278,0.117243449281907,18.1513,1.88151,664.524,741.174,53.6688,48.4522,1227.75,11770
9505800,1982-01-01T05:00:00Z,955.519672599117,3217.26424237113,617.352025362574,277.038232231816,279.304512010373,171.821690330298,414.670849173916,0.179820149451161,0.289934619010242,16.2013,0.656221,1027.42,10604.4,66.6241,46.7217,4418.55,1126870
9505800,1983-01-01T05:00:00Z,926.382327115867,1816.77419696511,652.546028881303,438.522249835869,381.485059322777,194.376097037929,336.17371169576,0.20982276037485,0.47337069911635,16.0079,1.36054,907.114,11101.8,63.3533,43.0117,2063.79,1069110
9505800,1984-01-01T05:00:00Z,683.012776894546,2546.41824948439,658.526309462362,161.186962291952,55.7739133008393,63.967146065495,62.7412726756388,0.0936543915859589,0.235994065916045,16.9398,2.06052,670.398,3136.43,67.2393,50.8741,2748.31,118889
9505800,1985-01-01T05:00:00Z,693.28559111249,1548.20308437948,666.185950274759,279.762724353839,284.6213805694,89.8317073648969,110.74739824901,0.129573884870083,0.403531716135791,16.8309,2.08281,724.996,2685.73,76.1293,48.5141,2027.66,147931
9505800,1986-01-01T05:00:00Z,640.897325032212,1557.7822313628,650.429509476656,152.440014322565,34.8727222731361,49.055536197758,17.8290242555591,0.0765419580980346,0.237854034286854,17.2836,2.70027,742.291,595.957,55.0861,38.8641,1900.11,11829.5
9505800,1987-01-01T05:00:00Z,638.88129253759,1089.39880055226,631.017704204182,164.240448534479,99.8761787690519,94.4786551571906,164.400186329376,0.147881392460136,0.257075063009167,16.8641,1.55453,702.394,15066.4,79.2786,52.7444,1624.73,2685050
9505800,1988-01-01T05:00:00Z,604.907837392484,2145.15581406128,656.405044819069,178.992189011957,105.610849055817,67.782576658654,38.2632448109322,0.112054386583645,0.295899933754405,17.5943,2.10067,639.421,4499.85,65.3524,51.6623,1546.76,238593
9505800,1989-01-01T05:00:00Z,398.790698297831,823.66022411316,657.233614543316,59.8817728191148,19.5149722334955,31.5658251575841,2.60571349613607,0.079153865153619,0.150158399066753,18.6916,2.388,416.354,938.912,66.6279,48.3185,1361.69,23592.9
