STAID,POS,PPT_MM,PPT_MMvar,PET_MM,YLD_MM,YLD_MMvar,yieldmm,yieldmmvar,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxmvar,tminmvar,pmvar,swemvar
7315200,1980-01-01T05:00:00Z,651.601577867592,3855.83374476855,1133.37230988622,120.223890048481,125.808536651383,19.9821259516247,18.2373052432997,0.0306661718300583,0.184505216273297,25.8377,10.8176,651.549,45.4695,100.519,91.4834,3857.76,172.29
7315200,1981-01-01T05:00:00Z,1021.4019607944,10954.8708767351,1068.18002404367,345.268184695977,2500.9414651617,165.000311792145,1503.21039516668,0.161542975366735,0.338033602782045,24.9628,11.3281,989.511,0,69.011,70.9674,11112.5,0
7315200,1982-01-01T05:00:00Z,976.070218790437,6409.43532270907,1023.83256077745,343.543995270588,2316.14259548213,93.2662115866231,308.306174865311,0.0955527684290995,0.351966476035212,24.38,10.4281,931.916,25.575,69.6354,76.9666,5999.26,54.5065
7315200,1983-01-01T05:00:00Z,652.551052329774,2187.43625143544,1007.14134976591,119.129561751218,63.0110829795284,15.6024257840535,3.05612824361747,0.0239098929169585,0.182559757318442,23.4676,9.84089,688.969,5.49588,102.684,80.9215,2423.4,2.06761
7315200,1984-01-01T05:00:00Z,777.52622459126,2902.7051477094,1063.85766675761,151.401837726357,282.804264855174,40.4092648696279,59.3102547806887,0.0519715780530371,0.19472248386985,24.8993,10.6629,729.241,0,79.8538,75.3113,2610.5,0
7315200,1985-01-01T05:00:00Z,974.706271924634,3147.93035802345,1042.89773798256,339.184352575265,739.103480335535,128.646400725948,222.829809398558,0.131984788065358,0.347986221434195,24.0251,10.7282,928.339,431.98,93.7275,87.6114,3026.02,11147.8
7315200,1986-01-01T05:00:00Z,920.944104116338,2665.73486070076,1074.47171168984,224.757756569401,241.804831184795,45.9800234149898,20.3441072379607,0.0499270511744124,0.244051463671685,24.76,11.7826,977.193,9.41021,65.6502,72.181,3784.96,7.37934
7315200,1987-01-01T05:00:00Z,891.713658502089,2818.60851603039,1019.56209569893,267.397858168245,507.84752293687,89.5843194539025,85.7444705401689,0.100463101130903,0.299869644945691,24.1409,10.636,949.45,444.25,70.1335,69.7729,3161.42,13297.6
7315200,1988-01-01T05:00:00Z,581.896885265635,1022.84727312937,1027.6078947309,77.595931384386,15.6159474208616,2.05708755699012,0.0840616753562397,0.00353514103456846,0.133349968609926,24.5464,10.1319,562.339,15.9341,74.8264,76.2739,1567.2,21.158
7315200,1989-01-01T05:00:00Z,947.448152279788,6953.39207254407,981.222660482403,297.458904666239,1418.68763861642,144.053926048181,706.070650916842,0.152044125793641,0.313957976434363,23.2994,9.73277,973.237,185.074,72.1649,79.395,7541.37,2240.76
