STAID,POS,PPT_MM,PET_MM,YLD_MM,yieldmm,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxdvar,tmindvar,pdvar,swedvar
11151300,1980-01-01T05:00:00Z,125.122098686958,37.0516415649262,16.4916751368079,4.7074900116453,0.0376231701757413,0.131804655691305,14.4199,2.28771,129.774,0,7.2802,25.6264,58.4612,0
11151300,1980-02-01T05:00:00Z,168.940405899864,40.7244036701574,59.3033085191483,9.45882488454578,0.0559891213363859,0.351030934270983,16.5257,3.11562,175.338,0,8.74848,19.608,102.078,0
11151300,1980-03-01T05:00:00Z,62.52753056669,43.9354663510791,29.2802721381079,7.44558148470944,0.119076851704038,0.468278082833904,15.944,0.488276,59.4248,0.765172,5.84515,8.26766,21.4239,0.00262393
11151300,1980-04-01T05:00:00Z,45.3522586911264,57.6442214757905,8.53520463983046,1.52572072239346,0.0336415597905376,0.188198005703748,20.3768,2.92348,49.5145,0,23.3055,9.56029,16.7048,0
11151300,1980-05-01T04:00:00Z,10.4961529971989,69.6223439355184,4.80907054615113,0.802079388466268,0.0764165107616398,0.458174585244186,21.7585,4.98508,9.56332,0,18.5529,9.01294,1.87146,0
11151300,1980-06-01T04:00:00Z,0.400080260679695,86.4038621197649,2.86229689662239,0.260012094636206,0.649899833084672,7.15430671775619,27.5536,5.49184,0.189974,0,12.1,9.17569,0.001203,0
11151300,1980-07-01T04:00:00Z,4.60339966810554,120.807358187823,2.22466696420262,0.206111072542686,0.0447736645528994,0.48326609127948,32.164,10.6542,6.63984,0,15.7994,15.4267,0.753088,0
11151300,1980-08-01T04:00:00Z,0,104.600503280885,1.93918818711417,0.122323140437609,,,31.1205,8.99272,0,0,11.4142,11.2633,0,0
11151300,1980-09-01T04:00:00Z,0.0937115338332368,80.8719997846296,1.65700473963,0.141711418533935,1.51220893242571,17.68197223811,29.1416,6.59439,0,0,11.3931,5.47452,0,0
11151300,1980-10-01T04:00:00Z,1.61931697412433,66.2810452238465,1.42322509143033,0.212949261912759,0.131505607188435,0.878904571601842,27.9717,3.36563,0,0,40.5342,16.2561,0,0
11151300,1980-11-01T05:00:00Z,3.78352431341773,41.7921495772916,1.25179791512178,0.187849084460254,0.049649234126519,0.330854994292612,21.65,-1.08454,3.37203,0,14.5902,10.9542,0.37902,0
11151300,1980-12-01T05:00:00Z,36.5458442383662,36.4567250112139,1.65232270866223,0.419140783742152,0.0114689041251408,0.0452123283261742,17.6705,-0.922493,35.4644,0,17.0486,13.5468,25.5186,0
11151300,1981-01-01T05:00:00Z,114.331321483413,37.8964306240123,9.36121001170492,1.32701098422779,0.0116067143019974,0.0818779131584079,16.3218,0.675568,113.208,0.300792,13.4725,12.6426,55.9349,0.000907998
11151300,1981-02-01T05:00:00Z,38.609983952831,39.1996320134153,7.0648474564468,1.72764843202739,0.0447461577331403,0.182979808152155,17.3607,1.00688,41.1649,1.69393,12.1958,14.4424,11.5903,0.0283866
11151300,1981-03-01T05:00:00Z,124.911024869628,45.5811094441604,22.7568046285019,4.3414457571296,0.0347563056316353,0.182184115871706,15.9706,1.62742,128.066,0.0263852,9.78973,5.41905,55.2619,2.24574e-05
11151300,1981-04-01T05:00:00Z,22.0012724561553,59.5233822174387,6.24606768528603,0.670142558267203,0.030459263644986,0.283895747290678,22.3726,2.16812,20.5818,0,23.2733,8.50145,4.04682,0
11151300,1981-05-01T04:00:00Z,0.327196417879166,79.7606055358597,2.74897654831972,0.141832092463995,0.433476910851676,8.4016095473726,25.5311,4.71608,0,0,14.5007,16.48,0,0
11151300,1981-06-01T04:00:00Z,0,117.043502869988,1.98314487977352,0.0528551813663328,,,33.3323,9.79325,0,0,13.7794,5.97673,0,0
