STAID,POS,PPT_MM,PPT_MMvar,PET_MM,YLD_MM,YLD_MMvar,yieldmm,yieldmmvar,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxmvar,tminmvar,pmvar,swemvar
6191000,1984-01-01T05:00:00Z,703.679628718183,269.479150585865,363.719595356896,416.293923769042,1436.68721237429,336.770074334262,816.409240533279,0.478584373612918,0.591595815452779,6.64075,-7.89992,796.985,86783.1,95.2451,65.2687,1006.27,7386810
6191000,1985-01-01T05:00:00Z,674.579778042441,601.289008123455,364.944544262111,328.42280905771,841.725891749871,315.864772982733,365.271824164332,0.468239314702464,0.486855402056015,6.60023,-8.43344,728.173,71549.4,106.587,77.7825,858.649,9834730
6191000,1986-01-01T05:00:00Z,743.770822981084,906.301960193087,393.376229990903,446.611916302816,1328.40871562656,424.338101607929,1292.36064470824,0.570522650925124,0.600469798630666,7.82477,-6.14383,859.685,84778.6,80.8895,48.336,1335.1,7294640
6191000,1987-01-01T05:00:00Z,593.758901367861,1532.44205501659,402.714424020895,291.801050228889,774.525062444763,239.932490756467,92.6684011916429,0.404090768498336,0.491447032720953,8.66802,-6.34519,529.116,20002.7,93.9803,56.2482,1462.93,2801570
6191000,1988-01-01T05:00:00Z,584.289525819161,1432.93270174365,415.984168691433,199.932461933438,510.017413140855,239.889642268159,196.311073326234,0.410566391604983,0.34218046550319,8.98155,-6.83962,460.433,53390.1,124.177,65.9428,1136.71,7782410
6191000,1989-01-01T05:00:00Z,776.905842569031,734.045677895338,383.555077865059,380.115554131228,1372.92232861672,351.243341496332,728.64760851797,0.452105419023313,0.489268497292133,7.22055,-6.58183,728.374,65760,109.057,62.6068,862.529,8309820
6191000,1990-01-01T05:00:00Z,622.479617395984,324.367399644187,391.966562788334,301.301958363333,704.075938388802,326.619743548232,378.319494034947,0.524707531653131,0.484035059049433,7.41045,-6.71866,616.594,59773.6,119.533,72.1684,362.096,8240710
6191000,1991-01-01T05:00:00Z,762.878428090857,1802.40871605742,391.008618239208,363.679099451537,1115.73285335078,352.995368573845,859.479354810347,0.462715100566199,0.4767196004764,7.52121,-6.46507,651.804,52632.3,106.435,58.7462,1107.26,7230280
6191000,1992-01-01T05:00:00Z,734.093027953225,1032.52687515844,389.306670282529,370.055092079507,906.431761502879,296.744825310736,297.296047271637,0.404233270186628,0.504098360818495,8.11887,-5.80273,742.523,36798.7,86.3585,51.9848,1705.13,4907550
6191000,1993-01-01T05:00:00Z,767.302347796518,1189.82644798159,345.343820998243,496.791344405706,2575.73901564592,435.174008206899,1480.28185066316,0.56714802118956,0.647451875824901,6.25074,-7.33655,664.929,50273.2,75.2863,53.9555,1026.22,5043760
6191000,1994-01-01T05:00:00Z,703.917914730975,560.226681258181,403.887318160701,269.534278122768,798.941634317298,278.881766629129,317.989789632146,0.396185067595151,0.382905836720719,8.19852,-6.1524,648.573,65703.7,116.971,58.367,669.87,10399500
6191000,1995-01-01T05:00:00Z,815.609986607721,814.068995935134,379.068736899386,462.517278064163,2161.12044271574,446.876406458336,1324.32137920086,0.547904530101429,0.567081430657638,7.11828,-6.07629,836.725,69057,83.4778,46.4189,769.212,6548700
6191000,1996-01-01T05:00:00Z,897.88390421544,2077.60018829144,384.553784093487,421.592820557824,2105.00305422484,500.079946108378,2066.72877352181,0.556953904352859,0.469540459048775,7.20481,-6.53257,949.567,117545,108.017,55.9523,3183.1,14557900
6191000,1997-01-01T05:00:00Z,911.777158696044,662.931267871001,417.714916526938,631.77513860075,3497.10755412102,570.289574673852,2702.23735654408,0.625470345725087,0.692905204495655,7.40502,-6.13265,757.612,43403.1,87.8956,68.533,633.263,8597610
6191000,1998-01-01T05:00:00Z,879.093883413286,1707.22224635637,438.25903525243,417.898316062426,1650.57496596324,449.228312372172,887.765268534378,0.511012897311876,0.475373932121834,8.05701,-4.44684,697.795,37727.3,97.5214,54.3511,1984.15,6475960
6191000,1999-01-01T05:00:00Z,811.026989890147,1331.73791679464,417.782800765737,476.029869047739,2210.69076926801,467.096131996925,1410.31453467998,0.575931674062035,0.586947012838891,8.30372,-5.16243,681.167,65288,76.1721,44.2854,1305.28,15474100
6191000,2000-01-01T05:00:00Z,745.435040826517,789.484510702513,434.538572109917,372.50351935185,1331.62752640332,333.365999985289,426.586687319776,0.447209993798605,0.499712917893997,8.2036,-5.02858,564.934,33773.2,94.7594,57.4926,484.418,6869250
6191000,2001-01-01T05:00:00Z,645.986707749905,598.638661009707,454.371974054329,248.514508945164,547.584348598402,243.008060028407,185.305682543181,0.376181207930501,0.384705298056036,8.75676,-4.76278,505.148,28857,99.043,61.7684,565.592,4015460
6191000,2002-01-01T05:00:00Z,709.214229432673,338.331581531038,419.98155111272,353.605062419734,1365.86659157502,317.331143471522,576.462818265289,0.447440463406053,0.498587095048271,7.26853,-5.84163,495.034,27889.3,99.193,61.9343,406.351,4481290
6191000,2003-01-01T05:00:00Z,765.069744082925,1132.98013342189,456.998498166283,325.188634893159,1207.15312175763,305.133607132962,540.267863667142,0.398831099377377,0.42504443210332,8.46738,-4.63947,544.358,38321.1,104.195,59.1719,692.233,7000770
6191000,2004-01-01T05:00:00Z,775.019577551343,613.423326753311,427.715936222187,423.584827354096,1011.88869978831,294.997559176368,300.48330235678,0.380632396549783,0.546547261028429,7.81281,-4.48957,662.679,23176,70.2568,46.7582,828.106,3199040
6191000,2005-01-01T05:00:00Z,838.559257789248,919.419515530447,427.607661504917,357.658134434035,994.815680996915,309.742200097726,458.474839303219,0.369374253781803,0.426515038873882,8.18621,-4.75193,770.515,38304.8,76.3986,53.5346,1328.71,5923040
