STAID,POS,PPT_MM,PET_MM,YLD_MM,yieldmm,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxdvar,tmindvar,pdvar,swedvar
14362250,1983-07-01T04:00:00Z,13.491515427545,88.8978715376951,5.5053536038013,5.74113920389362,0.425537015076319,0.408060431266399,23.2504,7.7651,12,0,19.2629,4.79512,1.75584,0
14362250,1983-08-01T04:00:00Z,71.2056982507386,98.7981840244838,5.6046290343384,3.95146309403789,0.0554936359183431,0.0787104006002815,26.066,10.2642,92.7455,0,17.5802,2.2187,45.5053,0
14362250,1983-09-01T04:00:00Z,30.3081200316698,65.9998284688865,4.20288525456509,3.53800656700852,0.116734609844212,0.138671921919716,22.0012,6.58515,25.0909,0,10.4801,4.75836,15.7849,0
14362250,1983-10-01T04:00:00Z,39.4014927170886,52.9982196801542,3.20199979927066,3.6325109160438,0.0921922157144154,0.0812659515785792,18.0349,4.70323,42.4909,0,7.33791,3.52514,12.711,0
14362250,1983-11-01T05:00:00Z,197.258226110643,27.1986863790197,30.5614049610588,14.1106806153311,0.0715340540851075,0.154930953013421,7.22273,0.795152,302.618,0,8.38408,7.548,64.9168,0
14362250,1983-12-01T05:00:00Z,267.781153265453,21.998858043328,148.257746622858,66.7732291152442,0.249357463365062,0.553652655591819,4.43226,-1.51877,357.418,121.6,9.44689,16.5889,84.1412,38.6472
14362250,1984-01-01T05:00:00Z,8.91845627836118,22.799084454085,30.7220330490262,20.7614241786894,2.32791679755865,3.44477027078856,7.81437,-1.67361,10.4364,1.74545,13.702,8.82161,0.842421,0.0323384
14362250,1984-02-01T05:00:00Z,108.11829637194,24.699969291367,51.8256481452776,23.7914698696332,0.220050358431358,0.479342071456536,8.19154,-1.41787,148.673,0,15.6502,3.64805,54.4808,0
14362250,1984-03-01T05:00:00Z,87.8163333605442,35.9988581765228,56.3202467439842,37.5064135233791,0.427100655289153,0.64134136086908,11.8018,0.212903,127.691,0,10.8201,2.14919,43.4291,0
14362250,1984-04-01T05:00:00Z,55.5198608224903,43.0975834374075,27.1286818186664,22.1671763705893,0.3992657049603,0.488630220190987,11.6958,-0.0645455,101.273,0,17.9457,3.14199,19.8865,0
14362250,1984-05-01T04:00:00Z,19.7099587012073,62.3992449882937,12.2132528357512,10.4013849156962,0.527722308979729,0.61964882935057,18.4765,3.06921,26.0909,0,24.9298,7.49573,3.53715,0
14362250,1984-06-01T04:00:00Z,21.1160143087332,77.2954409674938,6.40536376720298,5.80020442204068,0.274682728342433,0.303341514811999,21.3197,5.86818,26,0,27.2833,7.20408,5.6884,0
14362250,1984-07-01T04:00:00Z,5.99439362345792,109.995642237605,4.50495305374861,3.05367177820268,0.509421297635963,0.751527733534102,28.8525,10.2742,0,0,5.91858,4.58181,0,0
14362250,1984-08-01T04:00:00Z,16.0063782518415,98.7986996354212,3.00369466403469,2.16296828854511,0.135131649053481,0.187656109131941,27.554,9.46657,17.9455,0,7.09637,2.21513,5.53358,0
14362250,1984-09-01T04:00:00Z,19.8782869106863,71.0014042953639,2.30259035320272,1.91607567669042,0.0963903823955959,0.115834446074168,23.753,6.21455,18.2545,0,17.1521,10.4629,6.69428,0
