STAID,POS,PPT_MM,PPT_MMvar,PET_MM,YLD_MM,YLD_MMvar,yieldmm,yieldmmvar,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxmvar,tminmvar,pmvar,swemvar
8066300,1980-01-01T05:00:00Z,928.824238355572,2120.27104679137,1122.63982055603,260.945879093699,260.712260135001,254.836634158647,393.275959640917,0.27436475453076,0.280942150643795,25.6711,12.7401,1057.29,0,62.0679,57.9319,2659.37,0
8066300,1981-01-01T05:00:00Z,1331.40703393126,6882.92074353623,1102.73408152755,272.665540091286,561.9740370804,231.899870049957,872.381301031342,0.17417653966062,0.20479502747269,25.4382,13.1702,1362.95,0,44.8273,57.0432,7419.96,0
8066300,1982-01-01T05:00:00Z,1367.77063874432,3738.04591956807,1112.82209309633,288.955846239081,554.904792288469,252.514892741638,529.374742490642,0.18461786325042,0.211260454095108,25.5104,13.4015,1507.79,102.152,50.1325,46.5974,4851.31,869.594
8066300,1983-01-01T05:00:00Z,1464.67057011872,7047.94040780382,1031.16721193121,560.453962289014,186.801735208098,482.093021374586,1481.27792723138,0.329147749132086,0.382648476540077,24.1384,12.0506,1578.21,0,51.1093,57.8184,8774.2,0
8066300,1984-01-01T05:00:00Z,1315.52621212807,4263.50370652502,1100.1331836322,391.478181053981,250.136969998945,326.549103255978,531.836730012199,0.248226983427212,0.297582957636931,25.6221,13.241,1231.52,0,44.3711,48.2814,4210.5,0
8066300,1985-01-01T05:00:00Z,1254.44561617882,2389.51011909571,1121.11733121274,357.521334020028,427.744572977668,303.886610798198,567.731861821584,0.242247736274029,0.285003454441555,25.3814,13.3764,1318.89,9.53363,64.1149,60.0268,2319.95,7.57418
8066300,1986-01-01T05:00:00Z,1442.59851438457,6330.82078303083,1121.35715074571,441.970728795556,644.423749015451,421.357796724156,1692.85020265954,0.292082511192598,0.306371262959539,25.5088,14.0073,1490.68,0,44.2566,49.096,6807.38,0
8066300,1987-01-01T05:00:00Z,1333.09688899983,5775.59510128869,1080.89461356867,413.815746245166,335.010240261711,373.628151055266,700.532333721943,0.280270814625923,0.310416856914006,25.4217,12.5668,1361.15,0,45.112,53.142,7478.56,0
8066300,1988-01-01T05:00:00Z,733.55357366466,1059.54050737247,1075.42297987008,179.257982711866,228.49549699022,131.73650097854,141.049985046892,0.179586748273089,0.244369312818334,25.6067,12.3302,723.803,0,52.1756,52.269,1761.26,0
8066300,1989-01-01T05:00:00Z,1399.0054400803,8163.07605428313,1059.89415346975,389.074155551614,814.967942455215,427.385394633698,1224.5058983211,0.305492303596166,0.278107678787355,24.5316,12.8224,1452.83,0,48.3652,53.0013,11561,0
