STAID,POS,PPT_MM,PPT_MMvar,PET_MM,YLD_MM,YLD_MMvar,yieldmm,yieldmmvar,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxmvar,tminmvar,pmvar,swemvar
6447000,1980-01-01T05:00:00Z,354.826354299358,363.763486944068,706.308076973037,6.68496388719259,0.104344939861143,9.03385292674926,0.506736472244102,0.0254599265733447,0.0188400996887414,17.3439,1.14472,351.275,422.481,131.826,93.7947,407.545,3490.39
6447000,1981-01-01T05:00:00Z,392.415876574489,1049.46160686251,706.821217843093,10.9863529825758,0.709241748571695,8.06564200225879,1.16606701799138,0.020553811616049,0.0279967086920103,18.0492,1.89778,389.177,748.907,95.1215,81.0974,1189.14,13383.8
6447000,1982-01-01T05:00:00Z,598.399743856874,2090.16012659903,647.127539922764,45.2316984000337,11.8451982442266,37.5282549671499,20.2659785265717,0.062714356669454,0.0755877636385691,15.2629,-0.0257014,614.453,983.619,125.891,109.428,2175.47,17343.3
6447000,1983-01-01T05:00:00Z,478.520590177374,1067.71608480888,683.153046693656,54.9272948192937,29.7125676746838,20.7788472383206,7.84851421951578,0.0434230995799334,0.114785645480655,16.0441,0.680054,496.02,2452.18,155.206,110.217,1152.9,106982
6447000,1984-01-01T05:00:00Z,378.078902073205,706.193794721255,673.535607803968,16.8780664891032,1.76505565136638,14.1581569777206,1.43619542953364,0.0374476250858855,0.0446416512440971,16.4824,0.742007,386.476,195.901,119.215,88.739,844.212,712.811
6447000,1985-01-01T05:00:00Z,351.463028089064,275.517119766068,672.706273893564,2.92901616440194,0.00838973037191604,6.90136168254343,1.03744259163008,0.0196360957795952,0.00833378173609685,15.7981,-0.451887,380.742,8339.24,165.347,117.429,346.544,688745
6447000,1986-01-01T05:00:00Z,572.934697137216,1689.98632061277,677.927717692908,48.88142012827,8.65765883727963,30.8551592021299,6.01405813608638,0.053854583002747,0.0853176118893058,16.4618,1.8172,599.808,332.16,102.773,79.8202,1762.44,1854.68
6447000,1987-01-01T05:00:00Z,374.114317324418,663.189096647743,702.71610241332,28.0334530341691,7.30276805456485,17.0986381321403,4.83810432316256,0.0457043137360418,0.0749328527030403,17.9907,1.78598,385.435,1892.51,107.435,79.5437,845.819,75069.4
6447000,1988-01-01T05:00:00Z,378.520432618305,941.971372351033,720.586161375018,12.8573746993899,1.74657960065616,11.8343201450209,1.67216095903524,0.0312646798566736,0.0339674521939351,17.5696,1.09862,390.379,854.254,138.785,106.6,1057.33,11049.3
6447000,1989-01-01T05:00:00Z,315.684593922471,493.62058868609,676.060881711036,4.92001545242373,0.109908923113776,6.98161879714577,0.594732331118824,0.0221158046086354,0.0155852250858718,16.3226,0.164249,320.675,968.335,145.362,111.684,600.685,20210.1
6447000,1990-01-01T05:00:00Z,385.465748853538,716.453059132339,681.01712756913,11.7148034430441,1.05063865982874,8.43808588870765,0.495560684564377,0.0218906243000952,0.0303912954079229,17.2593,1.20784,404.397,510.742,112.55,95.4923,775.838,3840
6447000,1991-01-01T05:00:00Z,527.899747318714,2172.00324647915,686.089904739952,34.2963045269497,12.9069095477627,20.6743370603807,7.66649114780943,0.0391633774507166,0.0649674577439107,16.7298,1.53818,537.229,1230.16,113.491,97.2242,2150.21,16890.5
6447000,1992-01-01T05:00:00Z,424.798244346977,925.363955141816,636.92823734744,18.0556643995997,1.49272164531512,9.32000784864654,0.717901168866405,0.0219398454976521,0.0425040937430329,16.4834,0.987501,449.742,1718.43,89.876,68.8296,1035.09,58931.3
6447000,1993-01-01T05:00:00Z,596.997724514419,1345.99217710606,590.846706263976,58.383928049445,17.6645406020599,29.8827518769803,5.20044488256346,0.0500550515519738,0.0977958971232811,13.6322,-0.268412,633.712,2872.67,115.201,93.8822,1643.04,147461
6447000,1994-01-01T05:00:00Z,381.540233194928,561.728273323047,679.869697571772,24.2540875932862,2.5107218749985,18.0520816866161,3.47130303076641,0.0473137040763755,0.0635688860128543,16.3424,1.29524,381.144,1395.01,132.313,94.8027,542.205,31650.8
6447000,1995-01-01T05:00:00Z,556.871845812438,1722.7934267417,637.441373407828,97.7090966042872,121.15055846088,21.0193291751856,5.75218937123745,0.0377453615822862,0.175460651025976,15.4535,1.00502,580.155,571.937,100.681,83.0747,1904.26,4130.61
6447000,1996-01-01T05:00:00Z,531.167189975107,1391.06439995352,628.164517739201,73.709409657705,56.7949018414928,20.3832165246363,2.71026169561516,0.0383743892870935,0.138768755015082,14.2169,-0.356793,527.854,3755.64,140.387,118.261,1391.76,162856
6447000,1997-01-01T05:00:00Z,592.971690139729,1852.53533504011,653.450465085541,156.628246328995,213.943913683224,43.1627606089663,7.97498072725764,0.0727905924122538,0.264141187401522,15.4348,1.24678,614.768,542.462,109.57,91.7973,1897.82,8430.82
6447000,1998-01-01T05:00:00Z,619.89135837317,1536.75063359779,680.374267673261,110.705085021391,65.5528649199651,25.9116316742899,1.68281955766093,0.0418002789106334,0.178587882418498,16.3447,2.08923,630.732,551.07,106.351,89.4428,1657.08,6999.1
6447000,1999-01-01T05:00:00Z,541.299165303822,1883.64289422521,678.789100547691,127.741655239712,126.239749629067,25.1624104132342,5.72100764847356,0.0464852193132627,0.235990859450176,17.6045,2.24177,566.875,357.259,74.4198,65.5556,2008.88,3764.71
6447000,2000-01-01T05:00:00Z,478.072786550897,799.895895181896,695.777290373266,92.032384952605,111.016930524987,21.0239101824387,6.78404967552063,0.0439763792750426,0.192507056543799,16.5748,1.28973,501.881,4096.32,134.654,99.3712,848.084,226082
6447000,2001-01-01T05:00:00Z,438.728658619781,863.298008675408,706.642200483355,22.558597154003,2.58855188645973,15.88489968923,2.6915940592141,0.0362066607164509,0.0514181070937359,16.8445,1.85601,443.839,1738.17,126.063,96.0601,931.948,48659.4
6447000,2002-01-01T05:00:00Z,316.711980234295,543.286608610811,696.479473936747,7.96847722888789,0.148751491809197,7.47521947267915,0.459552190432636,0.0236025788072469,0.0251600120178372,16.5184,1.08416,316.271,858.833,125.974,96.5657,635.764,22770.1
6447000,2003-01-01T05:00:00Z,404.189964666447,632.262611024555,702.633470812649,16.7922433753449,1.91228029284642,9.38326230540586,0.864702846855397,0.0232149808893679,0.0415454237939889,16.5514,1.68352,401.568,580.445,124.118,95.9721,676.59,3750.68
6447000,2004-01-01T05:00:00Z,356.990340859396,627.252271117052,668.799766771199,8.43116380374207,0.533918812434991,8.90377021829542,0.878398609280509,0.0249412076440529,0.02361734433331,16.9286,1.72692,383.853,306.8,93.3707,70.6799,736.081,1666.86
6447000,2005-01-01T05:00:00Z,446.793066953192,1188.89718856989,689.923882141673,21.3767930147699,3.52419660746073,13.9777841011136,2.25917802871631,0.0312846933736731,0.0478449523859989,17.1449,1.75747,488.454,405.111,112.177,86.8202,1576.28,5690.7
6447000,2006-01-01T05:00:00Z,339.483087278066,386.290652171572,719.312153199459,7.82274437917137,0.237429536914213,8.3204095988994,0.610925406746905,0.0245090548268882,0.0230431048624342,17.4901,1.94614,359.659,641.637,112.513,87.752,391.857,12104.9
6447000,2007-01-01T05:00:00Z,359.288170291027,463.057003480435,738.414103264775,7.54901301734335,0.106732209577538,8.70658889113544,0.894482858519836,0.0242328849404727,0.0210110258047978,17.312,1.88526,392.324,1267.31,143.53,114.932,627.368,28305.4
6447000,2008-01-01T05:00:00Z,476.131306258533,933.372157366681,644.604193332828,18.3114023049598,2.80212751989077,19.3333395306942,2.58179242846815,0.0406050584714051,0.0384587236005376,15.3497,0.376467,535.818,829.69,122.139,98.4687,1084.35,13078.3
6447000,2009-01-01T05:00:00Z,508.899572598573,922.41429208133,621.633679677608,22.7344976672686,1.29387751457008,20.1863436443487,3.7339438053081,0.039666654741469,0.0446738391843804,14.9645,0.454809,553.4,2938.74,110.208,86.0213,1091.05,100936
6447000,2010-01-01T05:00:00Z,477.89187733225,1082.46320088888,677.594154710734,50.5496081381307,22.8939279539032,25.7471457156048,6.62720072338298,0.053876508341874,0.105776244660854,15.7643,1.42354,497.003,2127.1,133.017,99.2678,1190.58,75128
6447000,2011-01-01T05:00:00Z,522.582586973404,1587.06261466993,670.17808014237,59.1018179424407,47.435528041777,32.9341292019944,8.41787926438715,0.0630218649127521,0.113095651129012,15.4502,1.09299,551.764,1415.56,131.134,106.678,1921.33,45205.5
6447000,2012-01-01T05:00:00Z,266.053584338354,396.768187219551,761.850957861996,4.22073880584539,0.0514643215299892,6.98351898219922,0.511335226764865,0.0262485431255003,0.0158642433491054,18.9437,2.46432,280.539,465.06,122.998,88.7192,532.269,2617.89
